"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "XML", "CSS", "Markdown", "Properties", "comment", "blank", "total"
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\2919bf2b34e1148e.webpack.hot-update.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\633457081244afec._.hot-update.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\8246055a73ce58b6.webpack.hot-update.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\92cd5d66121cabed.webpack.hot-update.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\94026f913171189a.webpack.hot-update.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\app\layout.2919bf2b34e1148e.hot-update.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\webpack.01edabd00b34fe55.hot-update.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 18
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\webpack.2919bf2b34e1148e.hot-update.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 18
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\webpack.8246055a73ce58b6.hot-update.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 18
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\webpack.92cd5d66121cabed.hot-update.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 18
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\webpack.94026f913171189a.hot-update.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 18
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\types\app\(auth)\sign-in\[[...sigin-in]]\page.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 10, 18, 80
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\types\app\(auth)\sign-up\[[...sign-up]]\page.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 10, 18, 80
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\types\app\(root)\(home)\layout.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 10, 18, 80
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\types\app\(root)\(home)\page.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 10, 18, 80
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\types\app\(root)\(home)\personal-room\page.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 10, 18, 80
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\types\app\(root)\(home)\recordings\page.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 10, 18, 80
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\types\app\(root)\layout.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 10, 18, 80
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\types\app\layout.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 10, 18, 80
"c:\Users\User\dev\Meeting-App\HaMeetz\.next\types\package.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\dev\Meeting-App\HaMeetz\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\User\dev\Meeting-App\HaMeetz\actions\stream.actions.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 9, 25
"c:\Users\User\dev\Meeting-App\HaMeetz\app\(auth)\sign-in\[[...sigin-in]]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\User\dev\Meeting-App\HaMeetz\app\(auth)\sign-up\[[...sign-up]]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\User\dev\Meeting-App\HaMeetz\app\(root)\(home)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 7, 29
"c:\Users\User\dev\Meeting-App\HaMeetz\app\(root)\(home)\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 6, 29
"c:\Users\User\dev\Meeting-App\HaMeetz\app\(root)\(home)\personal-room\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 14, 87
"c:\Users\User\dev\Meeting-App\HaMeetz\app\(root)\(home)\previous\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\User\dev\Meeting-App\HaMeetz\app\(root)\(home)\recordings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
